GameID;Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Skor Game;Kill;Death;Assist;Duration;Map;Stage
MSC26_GA_M04_G1;22/07/2026;Red;Lose;Roy;Midlane;Valentina;Hirara;Flicker;IGNITE Gaming;Team Spirit;0 - 1;0;1;2;13:13;Flying Clouds;Group A
MSC26_GA_M04_G1;22/07/2026;Red;Lose;CS;Goldlane;Moskov;Belerick;Flicker;IGNITE Gaming;Team Spirit;0 - 1;0;1;1;13:13;Flying Clouds;Group A
MSC26_GA_M04_G1;22/07/2026;Red;Lose;Jayy;Roamer;Chou;Gloo;Flicker;IGNITE Gaming;Team Spirit;0 - 1;0;2;2;13:13;Flying Clouds;Group A
MSC26_GA_M04_G2;22/07/2026;Red;Win;Kid Bomba;Explane;Barats;Eudora;Flicker;Team Spirit;IGNITE Gaming;2 - 0;0;5;7;22:42;Flying Clouds;Group A
MSC26_GA_M04_G2;22/07/2026;Red;Win;zaur egoist;Jungler;Hirara;Atlas;Retribution;Team Spirit;IGNITE Gaming;2 - 0;10;2;6;22:42;Flying Clouds;Group A
MSC26_GA_M04_G2;22/07/2026;Red;Win;Sunset Lover;Midlane;Zhuxin;Belerick;Flicker;Team Spirit;IGNITE Gaming;2 - 0;1;2;16;22:42;Flying Clouds;Group A
MSC26_GA_M04_G2;22/07/2026;Red;Win;Hiko;Goldlane;Freya;Esmeralda;Flicker;Team Spirit;IGNITE Gaming;2 - 0;9;0;8;22:42;Flying Clouds;Group A
MSC26_GA_M04_G2;22/07/2026;Red;Win;Sawo;Roamer;Chou;Uranus;Flicker;Team Spirit;IGNITE Gaming;2 - 0;0;3;9;22:42;Flying Clouds;Group A
MSC26_GA_M04_G2;22/07/2026;Blue;Lose;Diablo;Explane;Alice;Phoveus;Flicker;IGNITE Gaming;Team Spirit;0 - 2;3;4;6;22:42;Flying Clouds;Group A
MSC26_GA_M04_G2;22/07/2026;Blue;Lose;Kelvin;Jungler;Ling;Fanny;Retribution;IGNITE Gaming;Team Spirit;0 - 2;4;3;6;22:42;Flying Clouds;Group A
